[2025-09-21 17:05] Env=LunarLander-v2
Ep, Timestep, Update, Avg_return
854: 264800, 165, 188.532, 
857: 265600, 166, 197.634, 
859: 266400, 166, 197.627, 
862: 267200, 167, 196.267, 
864: 268000, 167, 186.259, 
866: 268800, 168, 177.057, 
868: 269600, 168, 153.338, 
870: 270400, 169, 180.556, 
873: 271200, 169, 205.079, 
875: 272000, 170, 188.645, 
877: 272800, 170, 188.524, 
880: 273600, 171, 184.209, 
882: 274400, 171, 160.572, 
884: 275200, 172, 161.982, 
887: 276000, 172, 164.396, 
889: 276800, 173, 154.651, 
892: 277600, 173, 157.539, 
894: 278400, 174, 147.912, 
897: 279200, 174, 148.715, 
899: 280000, 175, 161.473, 
902: 280800, 175, 185.383, 
904: 281600, 176, 198.789, 
907: 282400, 176, 225.146, 
909: 283200, 177, 235.361, 
911: 284000, 177, 203.910, 
914: 284800, 178, 200.858, 
917: 285600, 178, 197.470, 
920: 286400, 179, 211.316, 
922: 287200, 179, 214.678, 
925: 288000, 180, 202.414, 
927: 288800, 180, 205.696, 
929: 289600, 181, 178.698, 
931: 290400, 181, 169.123, 
934: 291200, 182, 184.009, 
937: 292000, 182, 188.592, 
940: 292800, 183, 215.874, 
943: 293600, 183, 240.969, 
946: 294400, 184, 209.466, 
948: 295200, 184, 204.720, 
951: 296000, 185, 213.967, 
953: 296800, 185, 196.942, 
957: 297600, 186, 208.562, 
960: 298400, 186, 205.412, 
962: 299200, 187, 238.089, 
965: 300000, 187, 254.170, 
968: 300800, 188, 222.011, 
971: 301600, 188, 211.733, 
974: 302400, 189, 220.785, 
976: 303200, 189, 232.959, 
979: 304000, 190, 253.585, 
982: 304800, 190, 250.513, 
984: 305600, 191, 229.233, 
986: 306400, 191, 226.329, 
989: 307200, 192, 215.782, 
991: 308000, 192, 203.753, 
994: 308800, 193, 227.420, 
996: 309600, 193, 228.475, 
1000: 310400, 194, 248.665, 
1002: 311200, 194, 238.693, 
1005: 312000, 195, 237.474, 
1007: 312800, 195, 237.762, 
1009: 313600, 196, 233.233, 
1012: 314400, 196, 231.440, 
1015: 315200, 197, 230.393, 
1018: 316000, 197, 219.633, 
1020: 316800, 198, 214.478, 
1023: 317600, 198, 181.849, 
1026: 318400, 199, 174.227, 
1029: 319200, 199, 151.942, 
1032: 320000, 200, 175.437, 
1035: 320800, 200, 122.841, 
1038: 321600, 201, 164.623, 
1040: 322400, 201, 187.187, 
1043: 323200, 202, 204.053, 
1045: 324000, 202, 230.509, 
1048: 324800, 203, 237.702, 
1051: 325600, 203, 229.493, 
1054: 326400, 204, 231.257, 
1057: 327200, 204, 213.226, 
1059: 328000, 205, 212.054, 
1061: 328800, 205, 201.699, 
1064: 329600, 206, 189.581, 
1067: 330400, 206, 221.067, 
1069: 331200, 207, 220.309, 
1072: 332000, 207, 230.341, 
1074: 332800, 208, 222.980, 
1076: 333600, 208, 213.870, 
1080: 334400, 209, 227.310, 
1082: 335200, 209, 203.178, 
1085: 336000, 210, 208.018, 
1089: 336800, 210, 198.512, 
1091: 337600, 211, 215.911, 
1094: 338400, 211, 212.739, 
1096: 339200, 212, 197.870, 
1099: 340000, 212, 208.991, 
1102: 340800, 213, 208.565, 
1105: 341600, 213, 198.043, 
1108: 342400, 214, 200.423, 
1110: 343200, 214, 199.612, 
1113: 344000, 215, 220.003, 
1116: 344800, 215, 225.304, 
1119: 345600, 216, 201.052, 
1122: 346400, 216, 220.710, 
1124: 347200, 217, 210.475, 
1127: 348000, 217, 211.075, 
1130: 348800, 218, 217.035, 
1133: 349600, 218, 184.238, 
1135: 350400, 219, 186.062, 
1139: 351200, 219, 206.248, 
1141: 352000, 220, 194.838, 
1144: 352800, 220, 218.863, 
1147: 353600, 221, 223.498, 
1149: 354400, 221, 218.674, 
1152: 355200, 222, 234.508, 
1155: 356000, 222, 228.568, 
1157: 356800, 223, 217.429, 
1160: 357600, 223, 206.182, 
1163: 358400, 224, 205.583, 
1166: 359200, 224, 209.967, 
1168: 360000, 225, 209.858, 
1171: 360800, 225, 237.119, 
1173: 361600, 226, 227.422, 
1176: 362400, 226, 225.874, 
1178: 363200, 227, 227.073, 
1180: 364000, 227, 227.036, 
1183: 364800, 228, 244.506, 
1185: 365600, 228, 231.300, 
1188: 366400, 229, 229.390, 
1190: 367200, 229, 223.673, 
1193: 368000, 230, 218.334, 
1195: 368800, 230, 218.081, 
1197: 369600, 231, 219.243, 
1200: 370400, 231, 207.691, 
1203: 371200, 232, 216.793, 
1205: 372000, 232, 217.233, 
1208: 372800, 233, 241.408, 
1212: 373600, 233, 224.360, 
1215: 374400, 234, 228.122, 
1218: 375200, 234, 241.515, 
1221: 376000, 235, 241.228, 
1224: 376800, 235, 260.261, 
1226: 377600, 236, 237.198, 
1229: 378400, 236, 242.285, 
1232: 379200, 237, 245.601, 
1235: 380000, 237, 245.526, 
1238: 380800, 238, 251.165, 
1241: 381600, 238, 253.635, 
1244: 382400, 239, 260.558, 
1247: 383200, 239, 251.316, 
1251: 384000, 240, 253.147, 
1253: 384800, 240, 249.211, 
1256: 385600, 241, 256.680, 
1259: 386400, 241, 246.141, 
1261: 387200, 242, 243.007, 
1264: 388000, 242, 246.428, 
1267: 388800, 243, 248.933, 
1270: 389600, 243, 257.886, 
1273: 390400, 244, 256.535, 
1275: 391200, 244, 243.159, 
1277: 392000, 245, 225.554, 
