[2025-09-15 13:20] Env=Pendulum-v1
Ep, Timestep, Update, Return, Avg_return, Actor_loss, Entropy, Critic_loss
464: 278400, 116, -502.755, -936.032, 1.176, 1.042, 946.236
468: 280800, 117, -465.884, -894.697, 0.552, 1.024, 932.273
472: 283200, 118, -624.467, -860.450, 0.007, 1.005, 921.543
476: 285600, 119, -985.961, -839.809, -0.245, 0.990, 946.929
480: 288000, 120, -374.147, -817.496, -0.403, 0.975, 946.320
484: 290400, 121, -125.338, -786.639, -0.701, 0.958, 941.277
488: 292800, 122, -124.745, -759.361, -0.997, 0.941, 937.321
492: 295200, 123, -601.175, -733.520, -1.205, 0.924, 940.550
496: 297600, 124, -874.441, -713.927, -1.326, 0.909, 943.880
500: 300000, 125, -465.316, -692.264, -1.400, 0.894, 954.699
