[2025-09-16 11:12] Env=simple_spread_v3, num_actor=2, is_continuous=False, (last50)
Ep, Ep_return, Ep_Length, Actor_Los, Critic_Loss, Avg_Entropy
1700: -37.287, 25.000, -3.163, 6.463, 1.547
1750: -38.751, 25.000, -3.784, 8.233, 1.547
1800: -37.801, 25.000, -3.056, 6.536, 1.538
1850: -36.310, 25.000, -3.474, 6.554, 1.540
1900: -34.436, 25.000, -2.676, 5.367, 1.535
1950: -33.464, 25.000, -2.703, 5.525, 1.539
2000: -34.800, 25.000, -2.968, 5.270, 1.536
Model saved at episode 2000
2050: -33.533, 25.000, -2.976, 5.914, 1.531
2100: -37.063, 25.000, -3.161, 7.067, 1.548
2150: -35.003, 25.000, -3.101, 5.660, 1.535
2200: -35.913, 25.000, -2.946, 6.003, 1.528
2250: -35.811, 25.000, -2.715, 5.668, 1.517
2300: -36.208, 25.000, -2.907, 6.058, 1.514
2350: -33.977, 25.000, -3.712, 6.599, 1.509
2400: -34.390, 25.000, -3.355, 5.882, 1.514
2450: -35.772, 25.000, -2.349, 4.991, 1.505
2500: -38.737, 25.000, -2.237, 4.989, 1.493
Model saved at episode 2500
2550: -35.893, 25.000, -3.041, 5.925, 1.496
2600: -33.886, 25.000, -3.088, 5.354, 1.496
2650: -34.677, 25.000, -2.685, 5.103, 1.497
2700: -36.665, 25.000, -2.050, 4.762, 1.484
2750: -34.135, 25.000, -2.512, 4.413, 1.485
2800: -35.548, 25.000, -2.048, 4.604, 1.473
2850: -34.437, 25.000, -2.376, 4.275, 1.466
2900: -34.432, 25.000, -1.421, 3.234, 1.463
2950: -34.501, 25.000, -2.203, 4.294, 1.466
3000: -35.557, 25.000, -1.934, 3.550, 1.448
Model saved at episode 3000
3050: -36.125, 25.000, -1.969, 4.259, 1.447
3100: -37.588, 25.000, -2.066, 4.036, 1.433
3150: -36.830, 25.000, -2.111, 3.822, 1.437
3200: -36.230, 25.000, -1.925, 4.039, 1.435
3250: -35.053, 25.000, -1.894, 3.413, 1.430
3300: -37.204, 25.000, -1.275, 3.277, 1.417
3350: -33.594, 25.000, -2.635, 4.199, 1.418
3400: -37.093, 25.000, -1.129, 2.780, 1.405
3450: -32.335, 25.000, -2.429, 3.591, 1.426
3500: -32.823, 25.000, -1.398, 2.608, 1.423
Model saved at episode 3500
3550: -37.995, 25.000, -1.308, 3.398, 1.406
3600: -29.657, 25.000, -3.311, 4.014, 1.412
3650: -36.155, 25.000, -1.091, 2.899, 1.385
3700: -34.492, 25.000, -1.883, 3.459, 1.373
3750: -30.982, 25.000, -2.791, 3.792, 1.419
3800: -33.395, 25.000, -1.266, 2.643, 1.391
3850: -34.849, 25.000, -1.336, 2.738, 1.325
3900: -31.045, 25.000, -2.165, 2.700, 1.335
3950: -31.234, 25.000, -1.783, 2.883, 1.374
4000: -32.405, 25.000, -1.391, 2.714, 1.366
Model saved at episode 4000
4050: -34.109, 25.000, -1.948, 3.645, 1.344
4100: -33.211, 25.000, -1.729, 2.846, 1.360
4150: -34.430, 25.000, -0.745, 1.865, 1.289
4200: -32.891, 25.000, -1.531, 2.577, 1.282
4250: -33.831, 25.000, -1.688, 2.558, 1.318
4300: -32.025, 25.000, -1.582, 2.007, 1.261
4350: -32.231, 25.000, -1.412, 2.361, 1.237
4400: -33.043, 25.000, -0.448, 1.717, 1.232
4450: -33.536, 25.000, -0.988, 1.980, 1.222
4500: -31.884, 25.000, -1.665, 1.929, 1.258
Model saved at episode 4500
4550: -32.407, 25.000, -1.437, 2.136, 1.241
4600: -33.855, 25.000, -0.558, 2.005, 1.268
4650: -32.833, 25.000, -1.164, 2.487, 1.246
4700: -29.089, 25.000, -2.022, 2.385, 1.224
4750: -33.004, 25.000, -0.469, 2.077, 1.215
4800: -33.775, 25.000, -1.152, 1.858, 1.170
4850: -31.427, 25.000, -1.713, 1.719, 1.150
4900: -31.943, 25.000, -1.063, 1.782, 1.231
4950: -30.827, 25.000, -0.961, 1.764, 1.192
5000: -30.820, 25.000, -1.099, 1.472, 1.144
Model saved at episode 5000
5050: -32.499, 25.000, -1.528, 2.256, 1.190
5100: -32.538, 25.000, -0.795, 1.636, 1.201
5150: -30.657, 25.000, -1.376, 1.491, 1.197
5200: -31.771, 25.000, -0.829, 1.439, 1.239
5250: -32.211, 25.000, -0.504, 1.978, 1.228
5300: -30.188, 25.000, -0.480, 1.504, 1.218
5350: -34.516, 25.000, -0.482, 1.801, 1.191
5400: -30.363, 25.000, -1.796, 2.026, 1.156
5450: -32.308, 25.000, -1.345, 2.020, 1.151
5500: -33.086, 25.000, -0.294, 1.020, 1.150
Model saved at episode 5500
5550: -32.528, 25.000, -0.367, 1.158, 1.139
5600: -30.840, 25.000, -0.829, 1.523, 1.217
5650: -30.750, 25.000, -0.229, 1.416, 1.136
5700: -31.847, 25.000, 0.410, 1.043, 1.128
5750: -32.352, 25.000, -0.305, 1.392, 1.120
5800: -31.352, 25.000, -1.295, 1.903, 1.140
5850: -31.709, 25.000, -0.587, 1.103, 1.130
5900: -28.584, 25.000, -1.182, 1.332, 1.184
5950: -31.840, 25.000, -0.794, 1.555, 1.060
6000: -31.959, 25.000, -0.804, 1.619, 1.146
Model saved at episode 6000
6050: -34.286, 25.000, -0.898, 1.490, 1.082
6100: -29.951, 25.000, -0.968, 1.311, 1.094
6150: -30.296, 25.000, -0.762, 0.860, 1.116
6200: -31.293, 25.000, -0.431, 1.208, 1.109
6250: -31.459, 25.000, -0.331, 1.054, 1.064
6300: -32.466, 25.000, -0.237, 1.234, 1.080
6350: -31.744, 25.000, -0.923, 1.279, 1.036
6400: -31.042, 25.000, -0.579, 0.706, 1.032
6450: -32.987, 25.000, -0.008, 1.055, 1.042
6500: -30.920, 25.000, 0.142, 0.839, 1.073
Model saved at episode 6500
6550: -32.135, 25.000, 0.109, 0.997, 1.088
6600: -28.945, 25.000, -0.115, 0.858, 1.032
6650: -31.008, 25.000, -0.429, 0.968, 1.026
6700: -30.028, 25.000, -0.393, 0.635, 0.998
6750: -30.838, 25.000, -0.639, 0.878, 1.030
6800: -30.729, 25.000, -0.612, 1.015, 1.092
6850: -31.424, 25.000, -0.347, 0.830, 1.061
6900: -31.225, 25.000, -0.400, 1.075, 1.068
6950: -31.764, 25.000, 0.087, 0.740, 1.047
7000: -30.422, 25.000, -0.259, 0.581, 1.064
Model saved at episode 7000
7050: -31.938, 25.000, 0.330, 0.570, 1.037
7100: -32.594, 25.000, -0.078, 0.768, 1.025
7150: -29.935, 25.000, -0.571, 0.614, 1.051
7200: -28.818, 25.000, -0.447, 0.707, 1.026
7250: -33.039, 25.000, 0.314, 0.832, 1.007
7300: -30.709, 25.000, -0.307, 0.668, 0.984
7350: -28.960, 25.000, -0.273, 0.525, 1.008
7400: -30.306, 25.000, -0.208, 0.658, 1.023
7450: -33.445, 25.000, -0.177, 0.916, 1.043
7500: -31.513, 25.000, -0.385, 0.738, 1.039
Model saved at episode 7500
7550: -30.057, 25.000, -0.185, 0.549, 1.013
7600: -30.487, 25.000, -0.054, 0.694, 1.027
7650: -31.511, 25.000, 0.565, 0.536, 1.021
7700: -30.443, 25.000, -0.522, 1.076, 1.024
7750: -31.365, 25.000, -0.339, 0.741, 1.024
7800: -30.859, 25.000, -0.339, 0.636, 1.008
7850: -31.922, 25.000, -0.023, 0.519, 0.995
7900: -29.337, 25.000, -0.808, 0.641, 0.982
7950: -31.348, 25.000, 0.699, 0.437, 0.971
8000: -31.471, 25.000, 1.322, 0.544, 0.950
Model saved at episode 8000
8050: -32.134, 25.000, 0.916, 0.580, 0.962
8100: -32.236, 25.000, 0.597, 0.636, 0.942
8150: -30.419, 25.000, -0.091, 0.708, 0.938
8200: -33.006, 25.000, 0.604, 0.922, 0.939
8250: -30.880, 25.000, 0.133, 0.821, 0.943
8300: -29.627, 25.000, 0.256, 0.670, 0.943
