[2025-09-21 18:34] Env=Pendulum-v1
Ep, Timestep, Update, Avg_return, Actor_loss, Entropy, Critic_loss
495: 198400, 124, -433.214, 
497: 199200, 124, -429.757, 
499: 200000, 125, -372.224, 
501: 200800, 125, -269.649, 
503: 201600, 126, -229.951, 
505: 202400, 126, -255.377, 
507: 203200, 127, -279.612, 
509: 204000, 127, -291.070, 
511: 204800, 128, -436.707, 
513: 205600, 128, -411.912, 
515: 206400, 129, -398.423, 
517: 207200, 129, -374.571, 
519: 208000, 130, -351.221, 
521: 208800, 130, -205.029, 
523: 209600, 131, -216.496, 
525: 210400, 131, -220.995, 
527: 211200, 132, -233.004, 
529: 212000, 132, -282.778, 
531: 212800, 133, -320.294, 
533: 213600, 133, -308.363, 
535: 214400, 134, -279.159, 
537: 215200, 134, -242.035, 
539: 216000, 135, -191.275, 
541: 216800, 135, -154.038, 
543: 217600, 136, -157.073, 
545: 218400, 136, -157.060, 
547: 219200, 137, -218.452, 
549: 220000, 137, -453.081, 
551: 220800, 138, -498.405, 
553: 221600, 138, -468.690, 
555: 222400, 139, -481.351, 
557: 223200, 139, -634.627, 
559: 224000, 140, -419.487, 
561: 224800, 140, -360.340, 
563: 225600, 141, -372.619, 
565: 226400, 141, -384.217, 
567: 227200, 142, -181.764, 
569: 228000, 142, -214.166, 
571: 228800, 143, -219.217, 
573: 229600, 143, -243.758, 
575: 230400, 144, -247.311, 
577: 231200, 144, -305.616, 
579: 232000, 145, -290.799, 
581: 232800, 145, -312.715, 
583: 233600, 146, -313.338, 
585: 234400, 146, -298.429, 
587: 235200, 147, -253.261, 
589: 236000, 147, -237.418, 
591: 236800, 148, -222.899, 
593: 237600, 148, -184.740, 
595: 238400, 149, -184.848, 
597: 239200, 149, -222.991, 
599: 240000, 150, -202.267, 
601: 240800, 150, -202.956, 
603: 241600, 151, -234.612, 
605: 242400, 151, -290.583, 
607: 243200, 152, -276.373, 
609: 244000, 152, -289.347, 
611: 244800, 153, -302.876, 
613: 245600, 153, -308.120, 
615: 246400, 154, -227.128, 
617: 247200, 154, -215.359, 
619: 248000, 155, -227.283, 
621: 248800, 155, -225.796, 
623: 249600, 156, -202.486, 
625: 250400, 156, -202.301, 
627: 251200, 157, -177.385, 
629: 252000, 157, -163.801, 
631: 252800, 158, -139.544, 
633: 253600, 158, -150.975, 
635: 254400, 159, -198.283, 
637: 255200, 159, -222.981, 
639: 256000, 160, -236.821, 
641: 256800, 160, -237.084, 
643: 257600, 161, -264.550, 
645: 258400, 161, -217.207, 
647: 259200, 162, -216.939, 
649: 260000, 162, -204.623, 
651: 260800, 163, -242.796, 
653: 261600, 163, -191.474, 
655: 262400, 164, -205.963, 
657: 263200, 164, -193.604, 
659: 264000, 165, -204.481, 
661: 264800, 165, -198.147, 
663: 265600, 166, -249.703, 
665: 266400, 166, -235.832, 
